Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
151        3          0         
151        4          0         
151        5          0         
151        6          0         
151        7          0         
151        8          0         
151        9          0         
151        TotalExcRef 0         
152        0          0         
152        1          0         
152        2          0         
152        3          0         
152        4          0         
152        5          0         
152        6          0         
152        7          0         
152        8          0         
152        9          0         
152        TotalExcRef 0         
154        0          0         
154        1          0         
154        2          0         
154        3          0         
154        4          0         
154        5          0         
154        6          0         
154        7          0         
154        8          0         
154        9          0         
154        TotalExcRef 0         
155        0          0         
155        1          0         
155        2          0         
155        3          0         
155        4          0         
155        5          0         
155        6          0         
155        7          0         
155        8          0         
155        9          0         
155        TotalExcRef 0         
156        0          0         
156        1          0         
156        2          0         
156        3          0         
156        4          0         
156        5          0         
156        6          0         
156        7          0         
156        8          0         
156        9          0         
156        TotalExcRef 0         
158        0          0         
158        1          0         
158        2          0         
158        3          0         
158        4          0         
158        5          0         
158        6          0         
158        7          0         
158        8          0         
158        9          0         
158        TotalExcRef 0         
159        0          0         
159        1          0         
159        2          0         
159        3          0         
159        4          0         
159        5          0         
159        6          0         
159        7          0         
159        8          0         
159        9          0         
159        TotalExcRef 0         
160        0          0         
160        1          0         
160        2          0         
160        3          0         
160        4          0         
160        5          0         
160        6          0         
160        7          0         
160        8          0         
160        9          0         
160        TotalExcRef 0         
162        0          0         
162        1          0         
162        2          0         
162        3          0         
162        4          0         
162        5          0         
162        6          0         
162        7          0         
162        8          0         
162        9          0         
162        TotalExcRef 0         
163        0          0         
163        1          0         
163        2          0         
163        3          0         
163        4          0         
163        5          0         
163        6          0         
163        7          0         
163        8          0         
163        9          0         
163        TotalExcRef 0         
164        0          0         
164        1          0         
164        2          0         
164        3          0         
164        4          0         
164        5          0         
164        6          0         
164        7          0         
164        8          0         
164        9          0         
164        TotalExcRef 0         
165        0          0         
165        1          0         
165        2          0         
165        3          0         
165        4          0         
165        5          0         
165        6          0         
165        7          0         
165        8          0         
165        9          0         
165        TotalExcRef 0         
166        0          0         
166        1          0         
166        2          0         
166        3          0         
166        4          0         
166        5          0         
166        6          0         
166        7          0         
166        8          0         
166        9          0         
166        TotalExcRef 0         
Total execution ref: 50830
