contains the data for build a graph for analysis.
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
123 perturbation point
PM : Numerical Perturbator
1 files of 100 chararacters
Random characters generated with 23 as seed
Magnitude   IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
20          69         0          0          0          0          0              NaN                        
50          69         0          0          0          0          0              NaN                        
75          69         0          0          0          0          0              NaN                        
100         69         0          0          0          0          0              NaN                        
1           71         0          0          0          0          0              NaN                        
5           71         0          0          0          0          0              NaN                        
10          71         0          0          0          0          0              NaN                        
20          71         0          0          0          0          0              NaN                        
50          71         0          0          0          0          0              NaN                        
75          71         0          0          0          0          0              NaN                        
100         71         0          0          0          0          0              NaN                        
1           72         0          0          0          0          0              NaN                        
5           72         0          0          0          0          0              NaN                        
10          72         0          0          0          0          0              NaN                        
20          72         0          0          0          0          0              NaN                        
50          72         0          0          0          0          0              NaN                        
75          72         0          0          0          0          0              NaN                        
100         72         0          0          0          0          0              NaN                        
1           73         0          0          0          0          0              NaN                        
5           73         0          0          0          0          0              NaN                        
10          73         0          0          0          0          0              NaN                        
20          73         0          0          0          0          0              NaN                        
50          73         0          0          0          0          0              NaN                        
75          73         0          0          0          0          0              NaN                        
100         73         0          0          0          0          0              NaN                        
1           74         0          0          0          0          0              NaN                        
5           74         0          0          0          0          0              NaN                        
10          74         0          0          0          0          0              NaN                        
20          74         0          0          0          0          0              NaN                        
50          74         0          0          0          0          0              NaN                        
75          74         0          0          0          0          0              NaN                        
100         74         0          0          0          0          0              NaN                        
1           76         0          0          0          0          0              NaN                        
5           76         0          0          0          0          0              NaN                        
10          76         0          0          0          0          0              NaN                        
20          76         0          0          0          0          0              NaN                        
50          76         0          0          0          0          0              NaN                        
75          76         0          0          0          0          0              NaN                        
100         76         0          0          0          0          0              NaN                        
1           77         0          0          0          0          0              NaN                        
5           77         0          0          0          0          0              NaN                        
10          77         0          0          0          0          0              NaN                        
20          77         0          0          0          0          0              NaN                        
50          77         0          0          0          0          0              NaN                        
75          77         0          0          0          0          0              NaN                        
100         77         0          0          0          0          0              NaN                        
1           78         0          0          0          0          0              NaN                        
5           78         0          0          0          0          0              NaN                        
10          78         0          0          0          0          0              NaN                        
20          78         0          0          0          0          0              NaN                        
50          78         0          0          0          0          0              NaN                        
75          78         0          0          0          0          0              NaN                        
100         78         0          0          0          0          0              NaN                        
1           79         0          0          0          0          0              NaN                        
5           79         0          0          0          0          0              NaN                        
10          79         0          0          0          0          0              NaN                        
20          79         0          0          0          0          0              NaN                        
50          79         0          0          0          0          0              NaN                        
75          79         0          0          0          0          0              NaN                        
100         79         0          0          0          0          0              NaN                        
1           80         0          0          0          0          0              NaN                        
5           80         0          0          0          0          0              NaN                        
10          80         0          0          0          0          0              NaN                        
20          80         0          0          0          0          0              NaN                        
50          80         0          0          0          0          0              NaN                        
75          80         0          0          0          0          0              NaN                        
100         80         0          0          0          0          0              NaN                        
1           82         0          0          0          0          0              NaN                        
5           82         0          0          0          0          0              NaN                        
10          82         0          0          0          0          0              NaN                        
20          82         0          0          0          0          0              NaN                        
50          82         0          0          0          0          0              NaN                        
75          82         0          0          0          0          0              NaN                        
100         82         0          0          0          0          0              NaN                        
1           83         0          0          0          0          0              NaN                        
5           83         0          0          0          0          0              NaN                        
10          83         0          0          0          0          0              NaN                        
20          83         0          0          0          0          0              NaN                        
50          83         0          0          0          0          0              NaN                        
75          83         0          0          0          0          0              NaN                        
100         83         0          0          0          0          0              NaN                        
1           84         0          0          0          0          0              NaN                        
5           84         0          0          0          0          0              NaN                        
10          84         0          0          0          0          0              NaN                        
20          84         0          0          0          0          0              NaN                        
50          84         0          0          0          0          0              NaN                        
75          84         0          0          0          0          0              NaN                        
100         84         0          0          0          0          0              NaN                        
1           85         0          0          0          0          0              NaN                        
5           85         0          0          0          0          0              NaN                        
10          85         0          0          0          0          0              NaN                        
20          85         0          0          0          0          0              NaN                        
50          85         0          0          0          0          0              NaN                        
75          85         0          0          0          0          0              NaN                        
100         85         0          0          0          0          0              NaN                        
1           87         0          0          0          0          0              NaN                        
5           87         0          0          0          0          0              NaN                        
10          87         0          0          0          0          0              NaN                        
20          87         0          0          0          0          0              NaN                        
50          87         0          0          0          0          0              NaN                        
75          87         0          0          0          0          0              NaN                        
100         87         0          0          0          0          0              NaN                        
1           88         0          0          0          0          0              NaN                        
5           88         0          0          0          0          0              NaN                        
10          88         0          0          0          0          0              NaN                        
20          88         0          0          0          0          0              NaN                        
50          88         0          0          0          0          0              NaN                        
75          88         0          0          0          0          0              NaN                        
100         88         0          0          0          0          0              NaN                        
1           89         0          0          0          0          0              NaN                        
5           89         0          0          0          0          0              NaN                        
10          89         0          0          0          0          0              NaN                        
20          89         0          0          0          0          0              NaN                        
50          89         0          0          0          0          0              NaN                        
75          89         0          0          0          0          0              NaN                        
100         89         0          0          0          0          0              NaN                        
1           91         0          0          0          0          0              NaN                        
5           91         0          0          0          0          0              NaN                        
10          91         0          0          0          0          0              NaN                        
20          91         0          0          0          0          0              NaN                        
50          91         0          0          0          0          0              NaN                        
75          91         0          0          0          0          0              NaN                        
100         91         0          0          0          0          0              NaN                        
1           92         0          0          0          0          0              NaN                        
5           92         0          0          0          0          0              NaN                        
10          92         0          0          0          0          0              NaN                        
20          92         0          0          0          0          0              NaN                        
50          92         0          0          0          0          0              NaN                        
75          92         0          0          0          0          0              NaN                        
100         92         0          0          0          0          0              NaN                        
1           93         0          0          0          0          0              NaN                        
5           93         0          0          0          0          0              NaN                        
10          93         0          0          0          0          0              NaN                        
20          93         0          0          0          0          0              NaN                        
50          93         0          0          0          0          0              NaN                        
75          93         0          0          0          0          0              NaN                        
100         93         0          0          0          0          0              NaN                        
1           94         0          0          0          0          0              NaN                        
5           94         0          0          0          0          0              NaN                        
10          94         0          0          0          0          0              NaN                        
20          94         0          0          0          0          0              NaN                        
50          94         0          0          0          0          0              NaN                        
75          94         0          0          0          0          0              NaN                        
100         94         0          0          0          0          0              NaN                        
1           96         0          0          0          0          0              NaN                        
5           96         0          0          0          0          0              NaN                        
10          96         0          0          0          0          0              NaN                        
20          96         0          0          0          0          0              NaN                        
50          96         0          0          0          0          0              NaN                        
75          96         0          0          0          0          0              NaN                        
100         96         0          0          0          0          0              NaN                        
1           97         0          0          0          0          0              NaN                        
5           97         0          0          0          0          0              NaN                        
10          97         0          0          0          0          0              NaN                        
20          97         0          0          0          0          0              NaN                        
50          97         0          0          0          0          0              NaN                        
75          97         0          0          0          0          0              NaN                        
100         97         0          0          0          0          0              NaN                        
1           98         0          0          0          0          0              NaN                        
5           98         0          0          0          0          0              NaN                        
10          98         0          0          0          0          0              NaN                        
20          98         0          0          0          0          0              NaN                        
50          98         0          0          0          0          0              NaN                        
75          98         0          0          0          0          0              NaN                        
100         98         0          0          0          0          0              NaN                        
1           100        0          0          0          0          0              NaN                        
5           100        0          0          0          0          0              NaN                        
10          100        0          0          0          0          0              NaN                        
20          100        0          0          0          0          0              NaN                        
50          100        0          0          0          0          0              NaN                        
75          100        0          0          0          0          0              NaN                        
100         100        0          0          0          0          0              NaN                        
1           101        0          0          0          0          0              NaN                        
5           101        0          0          0          0          0              NaN                        
10          101        0          0          0          0          0              NaN                        
20          101        0          0          0          0          0              NaN                        
50          101        0          0          0          0          0              NaN                        
75          101        0          0          0          0          0              NaN                        
100         101        0          0          0          0          0              NaN                        
1           102        0          0          0          0          0              NaN                        
5           102        0          0          0          0          0              NaN                        
10          102        0          0          0          0          0              NaN                        
20          102        0          0          0          0          0              NaN                        
50          102        0          0          0          0          0              NaN                        
75          102        0          0          0          0          0              NaN                        
100         102        0          0          0          0          0              NaN                        
1           103        0          0          0          0          0              NaN                        
5           103        0          0          0          0          0              NaN                        
10          103        0          0          0          0          0              NaN                        
20          103        0          0          0          0          0              NaN                        
50          103        0          0          0          0          0              NaN                        
75          103        0          0          0          0          0              NaN                        
100         103        0          0          0          0          0              NaN                        
1           105        0          0          0          0          0              NaN                        
5           105        0          0          0          0          0              NaN                        
10          105        0          0          0          0          0              NaN                        
20          105        0          0          0          0          0              NaN                        
50          105        0          0          0          0          0              NaN                        
75          105        0          0          0          0          0              NaN                        
100         105        0          0          0          0          0              NaN                        
1           106        0          0          0          0          0              NaN                        
5           106        0          0          0          0          0              NaN                        
10          106        0          0          0          0          0              NaN                        
20          106        0          0          0          0          0              NaN                        
50          106        0          0          0          0          0              NaN                        
75          106        0          0          0          0          0              NaN                        
100         106        0          0          0          0          0              NaN                        
1           109        0          0          0          0          0              NaN                        
5           109        0          0          0          0          0              NaN                        
10          109        0          0          0          0          0              NaN                        
20          109        0          0          0          0          0              NaN                        
50          109        0          0          0          0          0              NaN                        
75          109        0          0          0          0          0              NaN                        
100         109        0          0          0          0          0              NaN                        
1           110        0          0          0          0          0              NaN                        
5           110        0          0          0          0          0              NaN                        
10          110        0          0          0          0          0              NaN                        
20          110        0          0          0          0          0              NaN                        
50          110        0          0          0          0          0              NaN                        
75          110        0          0          0          0          0              NaN                        
100         110        0          0          0          0          0              NaN                        
1           111        0          0          0          0          0              NaN                        
5           111        0          0          0          0          0              NaN                        
10          111        0          0          0          0          0              NaN                        
20          111        0          0          0          0          0              NaN                        
50          111        0          0          0          0          0              NaN                        
75          111        0          0          0          0          0              NaN                        
100         111        0          0          0          0          0              NaN                        
1           112        0          0          0          0          0              NaN                        
5           112        0          0          0          0          0              NaN                        
10          112        0          0          0          0          0              NaN                        
20          112        0          0          0          0          0              NaN                        
50          112        0          0          0          0          0              NaN                        
75          112        0          0          0          0          0              NaN                        
100         112        0          0          0          0          0              NaN                        
1           113        0          0          0          0          0              NaN                        
5           113        0          0          0          0          0              NaN                        
10          113        0          0          0          0          0              NaN                        
20          113        0          0          0          0          0              NaN                        
